imdbId,title,releaseYear
tt0118578,Albela,2001
tt0169102,Lagaan: Once Upon a Time in India,2001
tt0187279,Meri Biwi Ka Jawab Nahin,2004
tt0222024,Hum Tumhare Hain Sanam,2002
tt0227194,One 2 Ka 4,2001
tt0238936,Devdas,2002
tt0247911,Aap Mujhe Achche Lagne Lage,2002
tt0248126,Kabhi Khushi Kabhie Gham...,2001
tt0248216,Na Tum Jaano Na Hum,2002
tt0248617,Yaadein...,2001
tt0255713,Zubeidaa,2001
tt0256692,Chori Chori Chupke Chupke,2001
tt0265148,Main Prem Ki Diwani Hoon,2003
tt0265452,Officer,2001
tt0267363,Chandni Bar,2001
tt0271604,Kuch Khatti Kuch Meethi,2001
tt0272543,Censor,2001
tt0272607,Farz,2001
tt0272735,Mujhe Meri Biwi Se Bachaao,2001
tt0272736,Mujhse Dosti Karoge!,2002
tt0273164,Daman: A Victim of Marital Violence,2001
tt0273406,Aashiq,2001
tt0273535,Dil Ne Phir Yaad Kiya,2001
tt0274019,Pyaar Diwana Hota Hai,2002
tt0275381,Grahan,2001
tt0277981,Rahul,2001
tt0278291,Ajnabee,2001
tt0278522,Jodi No.1,2001
tt0279021,Chhupa Rustam: A Musical Thriller,2001
tt0280720,The Guru,2002
tt0281102,Pyaar Tune Kya Kiya...,2001
tt0283911,Bas Itna Sa Khwaab Hai...,2001
tt0284137,Gadar: Ek Prem Katha,2001
tt0284328,Mujhe Kucch Kehna Hai,2001
tt0285319,Paagalpan,2001
tt0287537,Love Ke Liye Kuch Bhi Karega,2001
tt0288273,Uljhan,2001
tt0289845,Aks,2001
tt0290326,Tum Bin...: Love Will Find a Way,2001
tt0291376,Nayak: The Real Hero,2001
tt0292490,Dil Chahta Hai,2001
tt0292552,Hum Ho Gaye Aap Ke,2001
tt0292740,Yeh Raaste Hain Pyaar Ke,2001
tt0293342,Lajja,2001
tt0294662,Kaante,2002
tt0295603,Shirdi Sai Baba,2001
tt0296535,Bollywood Bound,2003
tt0296574,Company,2002
tt0297983,Ittefaq,2001
tt0298606,Yeh Teraa Ghar Yeh Meraa Ghar,2001
tt0298607,Yeh Zindagi Ka Safar,2001
tt0299108,Rehnaa Hai Terre Dil Mein,2001
tt0300028,Indian,2001
tt0301179,Deewaanapan,2001
tt0301240,Moksha: Salvation,2001
tt0301250,Tera Mera Saath Rahen,2001
tt0302524,Ehsaas: The Feeling,2001
tt0303187,Veer Savarkar,2001
tt0305173,Aamdani Atthanni Kharcha Rupaiya,2001
tt0305455,Pitaah,2002
tt0306434,Aankhen,2002
tt0306840,Koi Mere Dil Se Poochhe,2002
tt0306855,Style,2001
tt0307116,Maa Tujhhe Salaam,2002
tt0307682,Yeh Dil Aashiqanaa,2002
tt0307866,Filhaal...,2002
tt0308347,Haan Maine Bhi Pyaar Kiya,2002
tt0309087,Yeh Mohabbat Hai,2002
tt0310254,Tumko Na Bhool Paayenge,2002
tt0311411,Kranti,2002
tt0312664,Escape from Taliban,2003
tt0312883,Kya Yehi Pyaar Hai,2002
tt0313395,Kitne Door... Kitne Paas,2002
tt0313743,Vadh,2002
tt0313844,16 December,2002
tt0314006,Dum,2003
tt0314008,Durga,2002
tt0314186,Humko Tumse Pyaar Hai,2006
tt0315632,Road,2002
tt0315767,Angaar: The Fire,2002
tt0315777,Ansh: The Deadly Part,2002
tt0316154,Lal Salaam,2002
tt0316911,Yeh Kaisi Mohabbat,2002
tt0317811,Kasam,2001
tt0319020,Awara Paagal Deewana,2002
tt0319736,The Legend of Bhagat Singh,2002
tt0321067,Ab Ke Baras,2002
tt0322653,Mere Yaar Ki Shaadi Hai,2002
tt0323013,Lakshya,2004
tt0324951,23rd March 1931: Shaheed,2002
tt0325041,Badhaai Ho Badhaai,2002
tt0326576,Humraaz,2002
tt0326600,Maine Dil Tujhko Diya,2002
tt0326805,Chori Chori,2003
tt0326983,Jaani Dushman: Ek Anokhi Kahani,2002
tt0327004,Kuch Tum Kaho Kuch Hum Kahein,2002
tt0327005,Kyaa Dil Ne Kahaa,2002
tt0327071,Om Jai Jagadish,2002
tt0328503,Taj Mahal: An Eternal Love Story,2005
tt0328671,Yeh Hai Jalwa,2002
tt0328729,Dil Maange More!!!,2004
tt0328998,Dil Hai Tumhaara,2002
tt0329620,Soch,2002
tt0330082,Boom,2003
tt0330217,Dil Ka Rishta,2003
tt0330783,Pran Jaaye Par Shaan Na Jaaye,2003
tt0330843,Saathiya,2002
tt0331216,Chor Machaaye Shor,2002
tt0331256,Gunaah,2002
tt0331421,Akhiyon Se Goli Maare,2002
tt0331453,Chhal,2002
tt0331479,Ek Chhotisi Love Story,2002
tt0331639,Shakthi: The Power,2002
tt0331851,Armaan,2003
tt0332766,Sur: The Melody of Life,2002
tt0335044,Dil Vil Pyar Vyar,2002
tt0335592,Pyaasa,2002
tt0337578,Baghban,2003
tt0337633,Hathyar: Face to Face with Reality,2002
tt0337652,Jeena Sirf Merre Liye,2002
tt0337971,Deewangee,2002
tt0337998,Ek Hindustani,2003
tt0338477,Talaash: The Hunt Begins...,2003
tt0338566,Yeh Kya Ho Raha Hai?,2002
tt0338721,Annarth,2002
tt0338959,Ek Se Badhkar Ek,2004
tt0339878,Waah! Tera Kya Kehna,2002
tt0340178,Jaal: The Trap,2003
tt0340464,Zindagi Khoobsoorat Hai,2002
tt0341266,Bhoot,2003
tt0341458,Maseeha,2002
tt0341549,Rishtey,2002
tt0341562,Satta,2003
tt0342624,Karz: The Burden of Truth,2002
tt0345043,Chura Liyaa Hai Tumne,2003
tt0345102,Danger,2002
tt0345594,Love at Times Square,2003
tt0346457,The Rising: Ballad of Mangal Pandey,2005
tt0346507,Andaaz,2003
tt0346548,Avgat,2001
tt0346723,Chalte Chalte,2003
tt0347167,The Hero: Love Story of a Spy,2003
tt0347278,Jhankaar Beats,2003
tt0347304,Kal Ho Naa Ho,2003
tt0347332,Khakee,2004
tt0347416,LOC: Kargil,2003
tt0347473,Main Hoon Na,2004
tt0347779,Pinjar,2003
